Worm	865
SearchPath,CreateFile,CreateFileMapping	753	2215
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	670	670
RegisterClipboardFormat,SystemParametersInfo,GetDC	670	670
SystemParametersInfo,GetDC,GetDeviceCaps	670	670
GetDC,GetDeviceCaps,ReleaseDC	670	680
GetDeviceCaps,ReleaseDC,LocalAlloc	670	671
GetSysColor,GetSysColorBrush,GetStockObject	596	881
LoadCursor,RegisterClass,RegisterClassEx	668	668
RegisterClass,RegisterClassEx,LoadLibraryEx	606	606
RegisterClassEx,LoadLibraryEx,LoadLibrary	606	606
IsBadWritePtr,RegisterClipboardFormat,SystemParametersInfo	586	586
RegisterClipboardFormat,SystemParametersInfo,GetSystemMetrics	585	586
SystemParametersInfo,GetSystemMetrics,LocalAlloc	586	587
GetSysColorBrush,GetStockObject,LoadLibrary	538	538
GetStockObject,LoadLibrary,LoadLibraryEx	538	538
FindResourceEx,LoadResource,LoadString	616	726

Trojan	10847
SearchPath,CreateFile,CreateFileMapping	9846	25586
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	8991	8999
RegisterClipboardFormat,SystemParametersInfo,GetDC	8988	8996
SystemParametersInfo,GetDC,GetDeviceCaps	8988	8996
GetDC,GetDeviceCaps,ReleaseDC	9149	9629
GetDeviceCaps,ReleaseDC,LocalAlloc	9017	9106
GetSysColor,GetSysColorBrush,GetStockObject	8713	14523
LoadCursor,RegisterClass,RegisterClassEx	8953	8961
RegisterClass,RegisterClassEx,LoadLibraryEx	8685	8693
RegisterClassEx,LoadLibraryEx,LoadLibrary	8658	8666
IsBadWritePtr,RegisterClipboardFormat,SystemParametersInfo	8293	8302
RegisterClipboardFormat,SystemParametersInfo,GetSystemMetrics	8290	8301
SystemParametersInfo,GetSystemMetrics,LocalAlloc	8530	8541
FindResourceEx,LoadResource,LoadString	6625	7525
CreateFileMapping,CreateFileMapping,MapViewOfFileEx	6697	7923

PUP	3137
lstrcpyn,LoadLibraryEx,SearchPath	2014	2014
LoadLibraryEx,SearchPath,CreateFile	2249	2543
SearchPath,CreateFile,CreateFileMapping	3072	3734
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	3064	3064
RegisterClipboardFormat,SystemParametersInfo,GetDC	3064	3064
SystemParametersInfo,GetDC,GetDeviceCaps	3064	3064
GetDC,GetDeviceCaps,ReleaseDC	3065	3831
GetDeviceCaps,ReleaseDC,LocalAlloc	3064	3064
LoadCursor,RegisterClass,RegisterClassEx	3064	3064
RegisterClass,RegisterClassEx,LoadLibraryEx	2561	2561
RegisterClassEx,LoadLibraryEx,LoadLibrary	2559	2559
GetVersionEx,GetModuleHandle,GetModuleHandle	2215	2675
GetModuleHandle,GetModuleHandle,GetProcAddress	2626	6301
GetModuleHandle,GetProcAddress,LocalAlloc	2551	2559
GetProcAddress,LocalAlloc,lstrlen	2551	2561
LocalAlloc,lstrlen,LocalFree	2581	2581
lstrlen,LocalFree,CreateSemaphore	2581	2581
LocalFree,CreateSemaphore,CreateSemaphore	2581	2581
LoadLibraryEx,LoadLibraryEx,LoadLibrary	2561	3269
LoadLibraryEx,LoadLibrary,GetProcAddress	2565	3119
GetACP,GetModuleFileName,GetModuleHandle	2449	2449
CreateFile,CreateFileMapping,CloseHandle	2573	3019
CreateFileMapping,CloseHandle,MapViewOfFileEx	2573	3020
CloseHandle,MapViewOfFileEx,UnmapViewOfFile	2567	2567
ReleaseDC,LocalAlloc,LocalFree	2567	2567
LocalAlloc,LocalFree,CloseHandle	2570	2934
LocalFree,CloseHandle,GetSystemMetrics	2567	2567
